"","hatch_nest_breed_ID","rear_nest_breed_ID","pair_ID"
"1","201194","201167","201167_201194"
"2","201167","201194","201167_201194"
"3","201419","201417","201417_201419"
"4","201288","201123","201123_201288"
"5","201123","201288","201123_201288"
"6","201122","201393","201122_201393"
"7","201325","201260","201260_201325"
"8","201428","201225","201225_201428"
"9","201181","201172","201172_201181"
"10","201172","201181","201172_201181"
"11","201339","201320","201320_201339"
"12","201320","201339","201320_201339"
"13","201206","201204","201204_201206"
"14","201204","201206","201204_201206"
"15","201225","201428","201225_201428"
"16","201440","201432","201432_201440"
"17","201432","201440","201432_201440"
"18","201408","201259","201259_201408"
"19","201227","201402","201227_201402"
"20","201329","201312","201312_201329"
"21","201312","201329","201312_201329"
"22","201402","201227","201227_201402"
"23","201287","201187","201187_201287"
"24","201187","201287","201187_201287"
"25","201120","201295","201120_201295"
"26","201387","201107","201107_201387"
"27","201136","201128","201128_201136"
"28","201128","201136","201128_201136"
"29","201107","201387","201107_201387"
"30","201334","201307","201307_201334"
"31","201268","201349","201268_201349"
"32","201307","201334","201307_201334"
"33","201411","201443","201411_201443"
"34","201443","201411","201411_201443"
"35","201257","201244","201244_201257"
"36","201244","201257","201244_201257"
"37","201327","201229","201229_201327"
"38","201229","201327","201229_201327"
"39","201127","201364","201127_201364"
"40","201413","201405","201405_201413"
"41","201354","201335","201335_201354"
"42","201385","201352","201352_201385"
"43","201335","201354","201335_201354"
"44","201297","201285","201285_201297"
"45","201405","201413","201405_201413"
"46","201236","201422","201236_201422"
"47","201436","201231","201231_201436"
"48","201348","201315","201315_201348"
"49","201315","201348","201315_201348"
"50","201282","201298","201282_201298"
"51","201298","201282","201282_201298"
"52","201106","201133","201106_201133"
"53","201230","201137","201137_201230"
"54","201175","201193","201175_201193"
"55","201193","201175","201175_201193"
"56","201422","201236","201236_201422"
"57","201352","201385","201352_201385"
"58","201285","201297","201285_201297"
"59","201215","201220","201215_201220"
"60","201220","201215","201215_201220"
"61","201403","201209","201209_201403"
"62","201209","201403","201209_201403"
"63","201384","201365","201365_201384"
"64","201365","201384","201365_201384"
"65","201274","201294","201274_201294"
"66","201294","201274","201274_201294"
"67","201135","201138","201135_201138"
"68","201138","201135","201135_201138"
"69","201132","201110","201110_201132"
"70","201114","201116","201114_201116"
"71","201116","201114","201114_201116"
"72","201226","201401","201226_201401"
"73","201247","201245","201245_201247"
"74","201245","201247","201245_201247"
"75","201137","201230","201137_201230"
"76","201401","201226","201226_201401"
"77","201195","201160","201160_201195"
"78","201360","201115","201115_201360"
"79","201378","201388","201378_201388"
"80","201388","201378","201378_201388"
"81","201314","201302","201302_201314"
"82","201302","201314","201302_201314"
"83","201115","201360","201115_201360"
"84","201425","201214","201214_201425"
"85","201214","201425","201214_201425"
"86","201266","201368","201266_201368"
"87","201373","201379","201373_201379"
"88","201379","201373","201373_201379"
"89","201394","201202","201202_201394"
"90","201375","201383","201375_201383"
"91","201283","201272","201272_201283"
"92","201272","201283","201272_201283"
"93","201367","201201","201201_201367"
"94","201368","201266","201266_201368"
"95","201381","201113","201113_201381"
"96","201113","201381","201113_201381"
"97","201129","201105","201105_201129"
"98","201105","201129","201105_201129"
"99","201424","201409","201409_201424"
"100","201383","201375","201375_201383"
"101","201322","201361","201322_201361"
"102","202116","202326","202116_202326"
"103","202329","202102","202102_202329"
"104","202206","202217","202206_202217"
